Season,Date,Time,Home,Away,Home_Score,Away_Score,result
2017,6/10/16,19:30,Brisbane Bullets,Perth Wildcats,72,65,1
2017,7/10/16,19:30,Illawarra Hawks,Adelaide 36ers,122,88,1
2017,7/10/16,17:30,NZ Breakers,Melbourne United,76,71,1
2017,8/10/16,21:30,Perth Wildcats,Cairns Taipans,84,74,1
2017,8/10/16,17:30,Sydney Kings,Brisbane Bullets,73,77,0
2017,9/10/16,15:00,Melbourne United,Adelaide 36ers,79,87,0
2017,13/10/16,19:30,Illawarra Hawks,Sydney Kings,84,88,0
2017,14/10/16,21:30,Perth Wildcats,NZ Breakers,75,73,1
2017,14/10/16,19:30,Adelaide 36ers,Melbourne United,87,98,0
2017,15/10/16,19:30,Sydney Kings,Cairns Taipans,92,78,1
2017,16/10/16,19:00,Brisbane Bullets,Adelaide 36ers,93,96,0
2017,16/10/16,15:00,Melbourne United,Illawarra Hawks,95,83,1
2017,20/10/16,19:30,Melbourne United,Brisbane Bullets,78,70,1
2017,20/10/16,17:30,NZ Breakers,Sydney Kings,78,92,0
2017,21/10/16,21:30,Perth Wildcats,Illawarra Hawks,80,73,1
2017,21/10/16,19:30,Adelaide 36ers,Cairns Taipans,83,67,1
2017,22/10/16,19:30,Brisbane Bullets,NZ Breakers,88,82,1
2017,23/10/16,15:00,Melbourne United,Perth Wildcats,69,72,0
2017,24/10/16,19:30,Sydney Kings,Illawarra Hawks,90,73,1
2017,27/10/16,19:30,Cairns Taipans,Melbourne United,83,76,1
2017,28/10/16,19:30,Illawarra Hawks,Perth Wildcats,81,76,1
2017,29/10/16,17:30,NZ Breakers,Adelaide 36ers,119,93,1
2017,30/10/16,19:00,Illawarra Hawks,Cairns Taipans,83,98,0
2017,30/10/16,15:00,Sydney Kings,Brisbane Bullets,87,78,1
2017,4/11/16,19:30,Melbourne United,NZ Breakers,92,98,0
2017,5/11/16,21:30,Perth Wildcats,Adelaide 36ers,106,103,1
2017,5/11/16,19:30,Cairns Taipans,Sydney Kings,64,57,1
2017,6/11/16,15:00,Illawarra Hawks,Melbourne United,82,73,1
2017,6/11/16,13:00,NZ Breakers,Brisbane Bullets,86,70,1
2017,7/11/16,19:30,Sydney Kings,Cairns Taipans,79,77,1
2017,10/11/16,19:30,Brisbane Bullets,Sydney Kings,86,73,1
2017,11/11/16,17:30,NZ Breakers,Cairns Taipans,79,86,0
2017,12/11/16,19:30,Melbourne United,Sydney Kings,71,87,0
2017,12/11/16,17:30,Adelaide 36ers,Illawarra Hawks,74,85,0
2017,13/11/16,19:00,Perth Wildcats,NZ Breakers,86,87,0
2017,13/11/16,15:00,Cairns Taipans,Brisbane Bullets,76,84,0
2017,17/11/16,21:30,Perth Wildcats,Sydney Kings,93,80,1
2017,18/11/16,19:30,Melbourne United,Cairns Taipans,84,79,1
2017,18/11/16,17:30,NZ Breakers,Illawarra Hawks,100,85,1
2017,19/11/16,19:30,Sydney Kings,Perth Wildcats,83,72,1
2017,19/11/16,17:30,Adelaide 36ers,Brisbane Bullets,87,105,0
2017,20/11/16,15:00,Illawarra Hawks,NZ Breakers,109,78,1
2017,24/11/16,19:30,Brisbane Bullets,Adelaide 36ers,83,101,0
2017,26/11/16,19:30,Melbourne United,Sydney Kings,95,92,1
2017,27/11/16,19:00,Perth Wildcats,Illawarra Hawks,85,89,0
2017,27/11/16,15:00,Cairns Taipans,NZ Breakers,91,80,1
2017,28/11/16,19:30,Sydney Kings,Adelaide 36ers,85,91,0
2017,1/12/16,21:30,Perth Wildcats,Brisbane Bullets,75,90,0
2017,2/12/16,17:30,NZ Breakers,Illawarra Hawks,91,95,0
2017,3/12/16,19:40,Adelaide 36ers,Perth Wildcats,92,86,1
2017,3/12/16,17:30,Brisbane Bullets,Cairns Taipans,84,89,0
2017,4/12/16,15:00,Melbourne United,NZ Breakers,98,74,1
2017,5/12/16,19:30,Illawarra Hawks,Sydney Kings,93,99,0
2017,8/12/16,17:30,NZ Breakers,Brisbane Bullets,82,75,1
2017,9/12/16,21:30,Perth Wildcats,Melbourne United,92,89,1
2017,9/12/16,19:30,Cairns Taipans,Sydney Kings,78,86,0
2017,10/12/16,19:30,Brisbane Bullets,Illawarra Hawks,88,98,0
2017,10/12/16,17:30,Adelaide 36ers,NZ Breakers,102,92,1
2017,11/12/16,15:00,Sydney Kings,Melbourne United,81,88,0
2017,12/12/16,19:30,Cairns Taipans,Adelaide 36ers,83,96,0
2017,15/12/16,17:30,NZ Breakers,Perth Wildcats,69,57,1
