"","Date","Time","Home","Away","Home_Score","Away_Score","Season","result","G"
"1",2013-10-10,"17:30","NZ Breakers","Illawarra Hawks",92,73,"2013/14",1,19
"2",2013-10-11,"21:30","Perth Wildcats","Adelaide 36ers",83,80,"2013/14",1,3
"3",2013-10-12,"21:00","Townsville","Cairns Taipans",92,103,"2013/14",0,11
"4",2013-10-13,"14:00","Sydney Kings","Melbourne United",73,69,"2013/14",1,4
"5",2013-10-18,"21:30","Perth Wildcats","Sydney Kings",81,69,"2013/14",1,12
"6",2013-10-18,"20:30","Townsville","NZ Breakers",94,84,"2013/14",1,10
"7",2013-10-19,"20:00","Adelaide 36ers","Illawarra Hawks",97,91,"2013/14",1,6
"8",2013-10-19,"19:30","Cairns Taipans","NZ Breakers",86,85,"2013/14",1,1
"9",2013-10-20,"14:00","Melbourne United","Perth Wildcats",71,75,"2013/14",0,4
"10",2013-10-24,"17:30","NZ Breakers","Perth Wildcats",89,96,"2013/14",0,7
"11",2013-10-25,"20:30","Cairns Taipans","Adelaide 36ers",84,87,"2013/14",0,3
"12",2013-10-26,"19:30","Illawarra Hawks","Townsville",85,81,"2013/14",1,4
"13",2013-10-27,"14:00","Melbourne United","Adelaide 36ers",93,79,"2013/14",1,14
"14",2013-10-27,"14:00","Sydney Kings","Perth Wildcats",72,82,"2013/14",0,10
"15",2013-10-31,"17:30","NZ Breakers","Adelaide 36ers",93,96,"2013/14",0,3
"16",2013-11-01,"21:30","Perth Wildcats","Illawarra Hawks",87,47,"2013/14",1,40
"17",2013-11-01,"20:30","Townsville","Sydney Kings",86,88,"2013/14",0,2
"18",2013-11-02,"20:30","Cairns Taipans","Melbourne United",74,86,"2013/14",0,12
"19",2013-11-03,"14:00","Adelaide 36ers","Sydney Kings",97,84,"2013/14",1,13
"20",2013-11-03,"14:00","Illawarra Hawks","NZ Breakers",89,97,"2013/14",0,8
"21",2013-11-08,"20:30","Townsville","NZ Breakers",91,78,"2013/14",1,13
"22",2013-11-08,"20:00","Adelaide 36ers","Melbourne United",90,87,"2013/14",1,3
"23",2013-11-08,"19:30","Sydney Kings","Cairns Taipans",99,86,"2013/14",1,13
