Date,Home,Away,Score,Season
13.04. 13:00,Perth Wildcats ,Adelaide 36ers,93 : 59,2013/14
11.04. 19:30,Adelaide 36ers,Perth Wildcats,89 : 84,2013/14
07.04. 21:30,Perth Wildcats,Adelaide 36ers,92 : 85,2013/14
01.04. 19:30,Adelaide 36ers ,Melbourne United,102 : 63,2013/14
30.03. 15:00,Illawarra Hawks,Perth Wildcats ,61 : 80,2013/14
30.03. 13:00,Melbourne United,Adelaide 36ers,98 : 87,2013/14
28.03. 21:30,Perth Wildcats,Illawarra Hawks,91 : 79,2013/14
27.03. 19:30,Adelaide 36ers,Melbourne United,101 : 85,2013/14
23.03. 17:00,Perth Wildcats,Illawarra Hawks,86 : 65,2013/14
23.03. 13:00,Adelaide 36ers,Melbourne United,99 : 94,2013/14
22.03. 19:30,Sydney Kings,Townsville,79 : 88,2013/14
21.03. 19:30,Illawarra Hawks,Sydney Kings,100 : 87,2013/14
21.03. 17:30,NZ Breakers,Cairns Taipans,83 : 95,2013/14
16.03. 13:00,Sydney Kings,Adelaide 36ers,100 : 90,2013/14
14.03. 20:30,Cairns Taipans,Melbourne United,66 : 73,2013/14
14.03. 20:30,Townsville,Illawarra Hawks,85 : 94,2013/14
14.03. 20:00,Adelaide 36ers,Perth Wildcats,102 : 79,2013/14
13.03. 17:30,NZ Breakers,Sydney Kings,106 : 78,2013/14
09.03. 13:00,Melbourne United,Sydney Kings,92 : 82,2013/14
08.03. 20:00,Adelaide 36ers,Townsville,102 : 70,2013/14
08.03. 19:30,Illawarra Hawks,Cairns Taipans,79 : 82,2013/14
07.03. 21:30,Perth Wildcats,Townsville,81 : 69,2013/14
07.03. 17:30,NZ Breakers,Melbourne United,84 : 97,2013/14
02.03. 13:00,Sydney Kings,Perth Wildcats,81 : 85,2013/14
01.03. 20:30,Cairns Taipans,NZ Breakers,92 : 87,2013/14
01.03. 19:30,Melbourne United,Townsville,106 : 109,2013/14
,,,,
28.02. 19:30,Illawarra Hawks,Adelaide 36ers,91 : 89,2013/14
27.02. 17:30,NZ Breakers,Townsville,102 : 99,2013/14
23.02. 14:00,Adelaide 36ers,NZ Breakers,96 : 92,2013/14
22.02. 20:30,Townsville,Sydney Kings,90 : 83,2013/14
21.02. 22:00,Perth Wildcats,Melbourne United,87 : 75,2013/14
21.02. 20:30,Cairns Taipans,Sydney Kings,63 : 85,2013/14
21.02. 19:30,Illawarra Hawks,NZ Breakers,88 : 68,2013/14
16.02. 14:00,Melbourne United,Adelaide 36ers,82 : 99,2013/14
15.02. 19:30,Sydney Kings,Illawarra Hawks,84 : 102,2013/14
14.02. 22:00,Perth Wildcats,Adelaide 36ers,85 : 61,2013/14
14.02. 19:30,Illawarra Hawks,Townsville,90 : 75,2013/14
14.02. 17:30,NZ Breakers,Cairns Taipans,96 : 78,2013/14
09.02. 14:00,Illawarra Hawks,Adelaide 36ers,102 : 80,2013/14
08.02. 20:30,Cairns Taipans,Townsville,82 : 90,2013/14
08.02. 19:30,Sydney Kings,NZ Breakers,98 : 96,2013/14
07.02. 20:30,Townsville,Perth Wildcats,88 : 75,2013/14
02.02. 14:00,Melbourne United,Perth Wildcats,57 : 81,2013/14
01.02. 20:00,Adelaide 36ers,Cairns Taipans,89 : 87,2013/14
31.01. 20:30,Townsville,Illawarra Hawks,80 : 67,2013/14
30.01. 22:00,Perth Wildcats,Cairns Taipans,94 : 99,2013/14
,,,,
30.01. 17:30,NZ Breakers,Sydney Kings,105 : 87,2013/14
26.01. 17:30,Illawarra Hawks,Melbourne United,78 : 86,2013/14
26.01. 14:00,Sydney Kings,Adelaide 36ers,105 : 93,2013/14
24.01. 21:30,Perth Wildcats,Melbourne United,80 : 83,2013/14
24.01. 20:30,Townsville,Cairns Taipans,79 : 90,2013/14
23.01. 17:30,NZ Breakers,Illawarra Hawks,106 : 101,2013/14
19.01. 14:00,Illawarra Hawks,Cairns Taipans,77 : 79,2013/14
19.01. 14:00,Sydney Kings,Melbourne United,97 : 84,2013/14
18.01. 20:00,Adelaide 36ers,Townsville,92 : 79,2013/14
17.01. 21:30,Perth Wildcats,NZ Breakers,97 : 72,2013/14
17.01. 20:30,Cairns Taipans,Sydney Kings,88 : 92,2013/14
12.01. 15:00,Townsville,Perth Wildcats,97 : 103,2013/14
12.01. 14:00,Adelaide 36ers,Sydney Kings,89 : 102,2013/14
11.01. 20:30,Cairns Taipans,Illawarra Hawks,79 : 82,2013/14
10.01. 22:00,Perth Wildcats,Townsville,102 : 87,2013/14
10.01. 19:30,Melbourne United,NZ Breakers,87 : 93,2013/14
05.01. 14:00,Melbourne United,Cairns Taipans,76 : 66,2013/14
04.01. 20:00,Adelaide 36ers,NZ Breakers,99 : 73,2013/14
04.01. 19:30,Illawarra Hawks,Perth Wildcats,96 : 91,2013/14
,,,,
03.01. 20:30,Townsville,Melbourne United,77 : 95,2013/14
03.01. 19:30,Sydney Kings,Cairns Taipans,62 : 73,2013/14
31.12. 20:30,Townsville,Adelaide 36ers,89 : 90,2013/14
31.12. 19:30,Cairns Taipans,Perth Wildcats,99 : 90,2013/14
31.12. 17:30,Illawarra Hawks,Melbourne United,81 : 91,2013/14
,,,,
29.12. 14:00,Sydney Kings,NZ Breakers,83 : 99,2013/14
27.12. 19:30,Melbourne United,Illawarra Hawks,74 : 67,2013/14
15.12. 14:00,Adelaide 36ers,Cairns Taipans,91 : 67,2013/14
14.12. 20:30,Townsville,Melbourne United,71 : 76,2013/14
14.12. 19:30,Sydney Kings,Illawarra Hawks,63 : 69,2013/14
